Community,Facility Name,Inspection Outcome,Last Inspection Date,Site Address
Harburn Township,CC'S SUDS & GRUB,,25-Jun-2020,5014 HALIBURTON LAKE RD HALIBURTON ON K0M 1S0
Ops Township,CEDAR VALLEY TRAILER PARK,,,657 THUNDER BRIDGE RD LINDSAY LINDSAY ON K9V 4R1
Brighton,CEDARDALE CAMPING AND SEASONAL RESORT,,30-Jul-2020,107A CEDARDALE RD CARRYING PLACE ON K0K 1L0
Ops Township,CENTRAL EAST CORRECTIONAL CENTRE,,,541 COUNTY RD 36 LINDSAY ON K9V 6H2
Ops Township,CENTRAL EAST CORRECTIONAL CENTRE,,,541 COUNTY RD 36 LINDSAY ON K9V 6H2
Lindsay,CENTRAL SENIOR PUBLIC SCHOOL,,,242 KENT ST W LINDSAY ON K9V 2Z4
Warkworth,CENTRE & MAIN CHOCOLATE,,19-Nov-2020,50 CENTRE AVE WARKWORTH ON K0K 3K0
Campbellford,CENTRE STORE,,,108 CENTRE ST CAMPBELLFORD ON K0L 1L0
Centreton,CENTRETON COMMUNITY HALL,,,2363 CTY RD 23 CENTRETON ON K0K 2G0
Lindsay,CENTURY THEATRE,,,141 KENT ST W LINDSAY ON K9V 2Z3
